Team,Nickname,Full Team Name,School,City,State,Enrollment,Conference,Classification,Stadium,Capacity,Surface,Former Conferences,First Played,Joined FBS or FCS,Lat,Long,Bordering_States,State,case_when
Florida,Gators,Florida Gators,University of Florida,Gainesville,FL,56100,SEC,FBS,Steve Spurrier-Florida Field at Ben Hill Griffin Stadium,"88,548",Grass,"SIAA, SoCon",1906,,29.649921,-82.348626,"'AL','GA'","'Florida',","stateProvince=='FL'&college_state %in% c('AL','GA') ~ 'Bordering State'"
Florida Atlantic,Owls,FAU Owls,Florida Atlantic University,Boca Raton,FL,30800,C-USA,FBS,FAU Stadium,"30,000",Celebration Bermuda Grass,Sun Belt,2001,2006,26.376196,-80.101633,"'AL','GA'","'Florida Atlantic',","stateProvince=='FL'&college_state %in% c('AL','GA') ~ 'Bordering State'"
Florida State,Seminoles,Florida State Seminoles,Florida State University,Tallahassee,FL,41900,ACC,FBS,Bobby Bowden Field at Doak S. Campbell Stadium,"79,560",Grass,Dixie,1947,,30.438153,-84.304416,"'AL','GA'","'Florida State',","stateProvince=='FL'&college_state %in% c('AL','GA') ~ 'Bordering State'"
Fresno State,Bulldogs,Fresno State Bulldogs,Fresno State University,Fresno,CA,25000,Mountain West,FBS,Bulldog Stadium at Jim Sweeney Field,"41,031",FieldTurf,"California Coast Conference, NCAC, CCAA, Big West, WAC",1921,,36.814412,-119.758066,"'AZ','NV','OR'","'Fresno State',","stateProvince=='CA'&college_state %in% c('AZ','NV','OR') ~ 'Bordering State'"
Georgia,Bulldogs,Georgia Bulldogs,University of Georgia,Athens,GA,38200,SEC,FBS,Sanford Stadium,"92,746",Grass,"SIAA, SoCon",1892,,33.9498,-83.373354,"'AL','FL','NC','SC','TN'","'Georgia',","stateProvince=='GA'&college_state %in% c('AL','FL','NC','SC','TN') ~ 'Bordering State'"
Georgia Southern,Eagles,Georgia Southern Eagles,Georgia Southern University,Statesboro,GA,26400,Sun Belt,FBS,Allen E. Paulson Stadium,"25,000",Shaw Legion 41 Synthetic Turf,SoCon,1924,2014,32.41219,-81.783134,"'AL','FL','NC','SC','TN'","'Georgia Southern',","stateProvince=='GA'&college_state %in% c('AL','FL','NC','SC','TN') ~ 'Bordering State'"
Georgia State,Panthers,Georgia State Panthers,Georgia State University,Atlanta,GA,52800,Sun Belt,FBS,Georgia State Stadium,"25,000",Artificial Turf,CAA,2010,2013,33.735545,-84.389441,"'AL','FL','NC','SC','TN'","'Georgia State',","stateProvince=='GA'&college_state %in% c('AL','FL','NC','SC','TN') ~ 'Bordering State'"
Georgia Tech,Yellow Jackets,Georgia Tech Yellow Jackets,Georgia Institute of Technology,Atlanta,GA,32700,ACC,FBS,Bobby Dodd Stadium at Historic Grant Field,"55,000",Bermuda Grass,"SIAA, SoCon, SEC",1892,,33.772507,-84.39286,"'AL','FL','NC','SC','TN'","'Georgia Tech',","stateProvince=='GA'&college_state %in% c('AL','FL','NC','SC','TN') ~ 'Bordering State'"
Hawai'i,Rainbow Warriors,Hawai'i Rainbow Warriors,University of Hawai'i,Honolulu,HI,17700,Mountain West,FBS,Aloha Stadium,"50,000",FieldTurf,WAC,1909,,21.372805,-157.929983,0,"'Hawai'i',",stateProvince=='HI'&college_state %in% c(0) ~ 'Bordering State'
Houston,Cougars,Houston Cougars,University of Houston,Houston,TX,42700,American,FBS,John O'Quinn Field at TDECU Stadium,"40,000",Act Global UBU Speed Series S5-M Synthetic Turf,"Lone Star, Gulf Coast, MVC, SWC, C-USA",1946,,29.722002,-95.349187,"'AR','LA','NM','OK'","'Houston',","stateProvince=='TX'&college_state %in% c('AR','LA','NM','OK') ~ 'Bordering State'"
Illinois,Fighting Illini,Illinois Fighting Illini,University of Illinois,Champaign,IL,51200,Big Ten,FBS,Memorial Stadium,"60,670",FieldTurf,Illinois Intercollegiate Football League,1890,,40.0993,-88.235951,"'IN','IA','MI','KY','MO','WI'","'Illinois',","stateProvince=='IL'&college_state %in% c('IN','IA','MI','KY','MO','WI') ~ 'Bordering State'"
Indiana,Hoosiers,Indiana Hoosiers,Indiana University Bloomington,Bloomington,IN,43700,Big Ten,FBS,Memorial Stadium,"52,959",FieldTurf Revolution 360,IIAA,1887,,39.180903,-86.525633,"'IL','KY','MI','OH'","'Indiana',","stateProvince=='IN'&college_state %in% c('IL','KY','MI','OH') ~ 'Bordering State'"
Iowa,Hawkeyes,Iowa Hawkeyes,University of Iowa,Iowa City,IA,33000,Big Ten,FBS,Kinnick Stadium,"70,585",FieldTurf,"WIUFA, MVC",1889,,41.658654,-91.551098,"'IL','MN','MO','NE','SD','WI'","'Iowa',","stateProvince=='IA'&college_state %in% c('IL','MN','MO','NE','SD','WI') ~ 'Bordering State'"
Iowa State,Cyclones,Iowa State Cyclones,Iowa State University,Ames,IA,33400,Big 12,FBS,Jack Trice Stadium,"61,500",Grass,"MVC, Big 8",1892,,42.014,-93.635754,"'IL','MN','MO','NE','SD','WI'","'Iowa State',","stateProvince=='IA'&college_state %in% c('IL','MN','MO','NE','SD','WI') ~ 'Bordering State'"
Kansas,Jayhawks,Kansas Jayhawks,University Kansas,Lawrence,KS,27700,Big 12,FBS,David Booth Kansas Memorial Stadium,"50,071",Synthetic Turf,"KCAC, WIUFA, MVC, Big 8",1890,,38.963008,-95.24636,"'CO','MO','NE','OK'","'Kansas',","stateProvince=='KS'&college_state %in% c('CO','MO','NE','OK') ~ 'Bordering State'"
Kansas State,Wildcats,Kansas State Wildcats,Kansas State University,Manhattan,KS,21700,Big 12,FBS,Bill Snyder Family Football Stadium,"50,000",Synthetic Turf,"MVC, Big 8",1896,,39.202004,-96.593843,"'CO','MO','NE','OK'","'Kansas State',","stateProvince=='KS'&college_state %in% c('CO','MO','NE','OK') ~ 'Bordering State'"
Kent State,Golden Flashes,Kent State Golden Flashes,Kent State University,Kent,OH,39300,MAC,FBS,Dix Stadium,"25,000",FieldTurf,OAC,1920,,41.13908,-81.313426,"'IN','KY','MI','PA','WV'","'Kent State',","stateProvince=='OH'&college_state %in% c('IN','KY','MI','PA','WV') ~ 'Bordering State'"
Kentucky,Wildcats,Kentucky Wildcats,University of Kentucky,Lexington,KY,29200,SEC,FBS,Kroger Field at C.M. Newton Grounds,"61,000",Artificial Turf,"SIAA, SoCon",1881,,38.02276,-84.505169,"'IL','IN','MO','OH','TN','VA','WV'","'Kentucky',","stateProvince=='KY'&college_state %in% c('IL','IN','MO','OH','TN','VA','WV') ~ 'Bordering State'"
Liberty,Flames,Liberty Flames,Liberty University,Lynchburg,VA,15000,Independent (2018),FBS,Arthur L. Williams Stadium,"25,000",FieldTurf,Big South,1973,2018,37.354443,-79.175032,"'KY','MD','NC','TN','WV'","'Liberty',","stateProvince=='VA'&college_state %in% c('KY','MD','NC','TN','WV') ~ 'Bordering State'"
Louisiana,Ragin' Cajuns,Louisiana Ragin' Cajuns,University of Louisiana,Lafayette,LA,19200,Sun Belt,FBS,Cajun Field,"41,426",ProGrass,"Louisiana Intercollegiate Athletic Association, Louisiana Intercollegiate Conference, Gulf States Conference, SIAA, Southland, Big West",1902,,30.215866,-92.041726,"'AR','MS','TX'","'Louisiana',","stateProvince=='LA'&college_state %in% c('AR','MS','TX') ~ 'Bordering State'"
Louisiana Tech,Bulldogs,Louisiana Tech Bulldogs,Louisiana Tech University,Ruston,LA,8800,C-USA,FBS,Joe Aillet Stadium,"28,109",FieldTurf,"Gulf States Conference, Southland, Independent",1951,1994,32.532127,-92.655922,"'AR','MS','TX'","'Louisiana Tech',","stateProvince=='LA'&college_state %in% c('AR','MS','TX') ~ 'Bordering State'"
Louisiana-Monroe,Warhawks,ULM Warhawks,University of Lousiana-Monroe,Monroe,LA,12400,Sun Belt,FBS,JPS Field at Malone Stadium,"30,427",FieldTurf,"Louisiana Intercollegiate Athletic Association, Louisiana Intercollegiate Conference, Gulf States Conference, SIAA, Southland, Big West, WAC",1901,1989,32.530923,-92.065978,"'AR','MS','TX'","'Louisiana-Monroe',","stateProvince=='LA'&college_state %in% c('AR','MS','TX') ~ 'Bordering State'"
Louisville,Cardinals,Louisville Cardinals,University of Louisville,Louisville,KY,22600,ACC,FBS,Cardinal Stadium[36],"61,000",FieldTurf,"KIAC, SIAA, KIAC, OVC, MVC, C-USA, Big East, American",1910,,38.205903,-85.758789,"'IL','IN','MO','OH','TN','VA','WV'","'Louisville',","stateProvince=='KY'&college_state %in% c('IL','IN','MO','OH','TN','VA','WV') ~ 'Bordering State'"
LSU,Tigers,LSU Tigers,Lousiana State University,Baton Rouge,LA,30800,SEC,FBS,Tiger Stadium,"102,321",Grass,"SIAA, SoCon",1893,,30.412032,-91.183799,"'AR','MS','TX'","'LSU',","stateProvince=='LA'&college_state %in% c('AR','MS','TX') ~ 'Bordering State'"
Marshall,Thundering Herd,Marshall Thundering Herd,Marshall University,Huntington,WV,13200,C-USA,FBS,Joan C. Edwards Stadium,"38,019",FieldTurf,"WVIAC, Buckeye Conference, OVC, MAC, SoCon",1895,1997,38.424953,-82.42094,"'KY','MD','OH','PA','VA'","'Marshall',","stateProvince=='WV'&college_state %in% c('KY','MD','OH','PA','VA') ~ 'Bordering State'"
Maryland,Terrapins,Maryland Terrapins,University of Maryland,College Park,MD,41200,Big Ten,FBS,Capital One Field at Maryland Stadium,"51,802",FieldTurf,"MIFA, SAIAA, SoCon, ACC",1888,,38.990274,-76.947233,"'DE','PA','VA','WV'","'Maryland',","stateProvince=='MD'&college_state %in% c('DE','PA','VA','WV') ~ 'Bordering State'"
Memphis,Tigers,Memphis Tigers,University of Memphis,Memphis,TN,21500,American,FBS,Liberty Bowl Memorial Stadium,"62,380",AstroTurf,"Mississippi Valley Conference, SIAA, MVC, C-USA[n 3]",1912,,35.1211,-89.977413,"'AL','AR','GA','KY','MS','MO','NC','VA'","'Memphis',","stateProvince=='TN'&college_state %in% c('AL','AR','GA','KY','MS','MO','NC','VA') ~ 'Bordering State'"
Miami,Hurricanes,Miami Hurricanes,University of Miami (FL),Miami Gardens,FL,24300,ACC,FBS,Hard Rock Stadium,"65,326",Platinum TE Paspalum,"OAC, Buckeye Conference",1888,,25.957927,-80.238836,"'AL','GA'","'Miami',","stateProvince=='FL'&college_state %in% c('AL','GA') ~ 'Bordering State'"
Miami (OH),RedHawks,Miami (OH) RedHawks,Miami University,Oxford,OH,17300,MAC,FBS,Fred C. Yager Stadium,"24,286",FieldTurf,"SIAA, Big East",1926,,39.519535,-84.732942,"'IN','KY','MI','PA','WV'","'Miami (OH)',","stateProvince=='OH'&college_state %in% c('IN','KY','MI','PA','WV') ~ 'Bordering State'"
Michigan,Wolverines,Michigan Wolverines,University of Michigan,Ann Arbor,MI,46000,Big Ten,FBS,Michigan Stadium,"107,601",FieldTurf Duraspine,,1879,,42.26587,-83.748727,"'IL','IN','MN','OH','WI'","'Michigan',","stateProvince=='MI'&college_state %in% c('IL','IN','MN','OH','WI') ~ 'Bordering State'"
Michigan State,Spartans,Michigan State Spartans,Michigan State University,East Lansing,MI,50300,Big Ten,FBS,Spartan Stadium,"75,005",Grass,MIAA,1885,,42.728163,-84.484862,"'IL','IN','MN','OH','WI'","'Michigan State',","stateProvince=='MI'&college_state %in% c('IL','IN','MN','OH','WI') ~ 'Bordering State'"
Middle Tennessee,Blue Raiders,Middle Tennessee Blue Raiders,Middle Tennessee State University,Murfreesboro,TN,21900,C-USA,FBS,"Johnny ""Red"" Floyd Stadium","31,000",Synthetic Turf,"VSAC, SIAA, OVC, Sun Belt",1911,1999,35.851155,-86.368171,"'AL','AR','GA','KY','MS','MO','NC','VA'","'Middle Tennessee',","stateProvince=='TN'&college_state %in% c('AL','AR','GA','KY','MS','MO','NC','VA') ~ 'Bordering State'"
Minnesota,Golden Gophers,Minnesota Golden Gophers,University of Minnesota,Minneapolis,MN,47800,Big Ten,FBS,TCF Bank Stadium,"50,805",,,1882,,44.976536,-93.224566,"'IA','MI','ND','SD','WI'","'Minnesota',","stateProvince=='MN'&college_state %in% c('IA','MI','ND','SD','WI') ~ 'Bordering State'"
Mississippi State,Bulldogs,Mississippi State Bulldogs,Mississippi State University,Starkville,MS,30000,SEC,FBS,Davis Wade Stadium at Scott Field,"61,337",Prescription Athletic Turf (Tifway 419 Bermuda Grass),"WIUFA, Big 8, Big 12",1890,,33.456344,-88.793378,"'AL','AR','LA','TN'","'Mississippi State',","stateProvince=='MS'&college_state %in% c('AL','AR','LA','TN') ~ 'Bordering State'"
Missouri,Tigers,Missouri Tigers,University of Missouri,Columbia,MO,4600,SEC,FBS,Faurot Field at Memorial Stadium,"61,620",FieldTurf,Independent,1879,,38.935838,-92.333202,"'AR','IL','IA','KS','KY','NE','OK','TN'","'Missouri',","stateProvince=='MO'&college_state %in% c('AR','IL','IA','KS','KY','NE','OK','TN') ~ 'Bordering State'"
Navy,Midshipmen,Navy Midshipmen,United States Naval Academy,Annapolis,MD,35500,American,FBS,Navy-Marine Corps Memorial Stadium,"34,000",FieldTurf Revolution,"SAIAA, SIAA, SoCon",1892,,38.98478,-76.507087,"'DE','PA','VA','WV'","'Navy',","stateProvince=='MD'&college_state %in% c('DE','PA','VA','WV') ~ 'Bordering State'"
NC State,Wolfpack,NC State Wolfpack,North Carolina State University,Raleigh,NC,25800,ACC,FBS,Wayne Day Family Field at Carter-Finley Stadium,"57,583",Tifway 419 Bermuda Grass,"WIUFA, MVC, Big 8, Big 12",1890,,35.800781,-78.719464,"'GA','SC','TN','VA'","'NC State',","stateProvince=='NC'&college_state %in% c('GA','SC','TN','VA') ~ 'Bordering State'"
Nebraska,Cornhuskers,Nebraska Cornhuskers,University of Nebraska,Lincoln,NE,21600,Big Ten,FBS,"Memorial Stadium, Tom Osborne Field","86,047",FieldTurf,"NCAC, Big Sky, Big West, WAC",1896,1992,40.820637,-96.705658,"'CO','IA','KS','MO','SD','WY'","'Nebraska',","stateProvince=='NE'&college_state %in% c('CO','IA','KS','MO','SD','WY') ~ 'Bordering State'"
Nevada,Wolf Pack,Nevada Wolf Pack,University of Nevada,Reno,NV,26300,Mountain West,FBS,Mackay Stadium,"26,000",FieldTurf,"BIAA, WAC",1892,,39.546942,-119.817554,"'AZ','CA','ID','OR','UT'","'Nevada',","stateProvince=='NV'&college_state %in% c('AZ','CA','ID','OR','UT') ~ 'Bordering State'"
New Mexico,Lobos,New Mexico Lobos,University of New Mexico,Albuquerque,NM,21900,Mountain West,FBS,Dreamstyle Stadium,"39,224",FieldTurf,"BIAA, MVC, Big West, Sun Belt, WAC",1893,,35.066964,-106.62828,"'AZ','CO','OK','TX','UT'","'New Mexico',","stateProvince=='NM'&college_state %in% c('AZ','CO','OK','TX','UT') ~ 'Bordering State'"
New Mexico State,State Aggies,New Mexico State Aggies,New Mexico State University,Las Cruces,NM,29800,Independent,FBS,Aggie Memorial Stadium,"30,343",S5-M Synthetic Turf,"SAIAA, SIAA, SoCon",1888,,32.279635,-106.741094,"'AZ','CO','OK','TX','UT'","'New Mexico State',","stateProvince=='NM'&college_state %in% c('AZ','CO','OK','TX','UT') ~ 'Bordering State'"
North Carolina,Tar Heels,North Carolina Tar Heels,University of North Carolina-Chapel Hill,Chapel Hill,NC,20000,ACC,FBS,Kenan Memorial Stadium,"51,000",AstroTurf,"IIAC, Big West",1899,,35.906956,-79.047869,"'GA','SC','TN','VA'","'North Carolina',","stateProvince=='NC'&college_state %in% c('GA','SC','TN','VA') ~ 'Bordering State'"
North Texas,Mean Green,North Texas Mean Green,University of North Texas,Denton,TX,21200,C-USA,FBS,Apogee Stadium,"30,850",PowerBlade Artificial Turf,,1876,,33.203939,-97.159241,"'AR','LA','NM','OK'","'North Texas',","stateProvince=='TX'&college_state %in% c('AR','LA','NM','OK') ~ 'Bordering State'"
Northern Illinois,Huskies,Northern Illinois Huskies,Northern Illinois University,DeKalb,IL,39400,MAC,FBS,Brigham Field at Huskie Stadium,"23,595",FieldTurf,"TIAA, Lone Star, Gulf Coast Conference, MVC, Southland, Big West, Sun Belt",1913,1995,41.933955,-88.777814,"'IN','IA','MI','KY','MO','WI'","'Northern Illinois',","stateProvince=='IL'&college_state %in% c('IN','IA','MI','KY','MO','WI') ~ 'Bordering State'"
Northwestern,Wildcats,Northwestern Wildcats,Northwestern University,Evanston,IL,12300,Big Ten,FBS,Ryan Field,"47,130",Grass,,1887,,42.065413,-87.692494,"'IN','IA','MI','KY','MO','WI'","'Northwestern',","stateProvince=='IL'&college_state %in% c('IN','IA','MI','KY','MO','WI') ~ 'Bordering State'"
Notre Dame,Fighting Irish,Notre Dame Fighting Irish,University of Notre Dame,Notre Dame,IN,34900,Independent,FBS,Notre Dame Stadium,"77,622",FieldTurf,"OAC, Buckeye Conference",1894,,41.698399,-86.233928,"'IL','KY','MI','OH'","'Notre Dame',","stateProvince=='IN'&college_state %in% c('IL','KY','MI','OH') ~ 'Bordering State'"
Ohio,Bobcats,Ohio Bobcats,Ohio University,Athens,OH,68100,MAC,FBS,Peden Stadium,"24,000",FieldTurf,OAC,1889,,39.321,-82.10296,"'IN','KY','MI','PA','WV'","'Ohio',","stateProvince=='OH'&college_state %in% c('IN','KY','MI','PA','WV') ~ 'Bordering State'"
