Team,Nickname,Full Team Name,School,City,State,Enrollment,Conference,Classification,Stadium,Capacity,Surface,Former Conferences,First Played,Joined FBS or FCS,Lat,Long,Bordering_States,State,case_when
Air Force,Falcons,Air Force Falcons,United States Air Force Academy,Colorado Springs,CO,4237,Mountain West,FBS,Falcon Stadium,"46,692",FieldTurf,WAC,1955,,38.997064,-104.843512,"'AZ','KS','NE','NM','OK','UT','WY'","'Air Force',","stateProvince=='CO'&college_state %in% c('AZ','KS','NE','NM','OK','UT','WY') ~ 'Bordering State'"
Akron,Zips,Akron Zips,University of Akron,Akron,OH,19200,MAC,FBS,InfoCision Stadium-Summa Field,"30,000",ProGrass Artificial Turf,"OAC, MCC, OVC",1891,1987,41.072587,-81.508347,"'IN','KY','MI','PA','WV'","'Akron',","stateProvince=='OH'&college_state %in% c('IN','KY','MI','PA','WV') ~ 'Bordering State'"
Alabama,Crimson Tide,Alabama Crimson Tide,University of Alabama,Tuscaloosa,AL,38500,SEC,FBS,Bryant-Denny Stadium,"101,821",Grass,"SIAA, SoCon",1892,,33.207648,-87.550451,"'FL','GA','MS','TN'","'Alabama',","stateProvince=='AL'&college_state %in% c('FL','GA','MS','TN') ~ 'Bordering State'"
Appalachian State,Mountaineers,Appalachian State Mountaineers,Appalachian State University,Boone,NC,19100,Sun Belt,FBS,Kidd Brewer Stadium,"30,000",FieldTurf,"NSC, SoCon",1928,2014,36.211609,-81.685488,"'GA','SC','TN','VA'","'Appalachian State',","stateProvince=='NC'&college_state %in% c('GA','SC','TN','VA') ~ 'Bordering State'"
Arizona,Wildcats,Arizona Wildcats,University of Arizona,Tucson,AZ,45200,Pac-12,FBS,Arizona Stadium,"56,029",FieldTurf,"BIAA, WAC",1899,,32.22884,-110.948843,"'CA','CO','NV','NM','UT'","'Arizona',","stateProvince=='AZ'&college_state %in% c('CA','CO','NV','NM','UT') ~ 'Bordering State'"
Arizona State,Sun Devils,Arizona State Sun Devils,Arizona State University,Tempe,AZ,51800,Pac-12,FBS,Frank Kush Field at Sun Devil Stadium,"56,232",Bermuda Grass,"BIAA, WAC",1896,,33.426431,-111.932575,"'CA','CO','NV','NM','UT'","'Arizona State',","stateProvince=='AZ'&college_state %in% c('CA','CO','NV','NM','UT') ~ 'Bordering State'"
Arkansas,Razorbacks,Arkansas Razorbacks,University of Arkansas,Fayetteville,AR,27800,SEC,FBS,"Donald W. Reynolds Razorback Stadium, Frank Broyles Field","80,000",PowerBlade HP,SWC,1894,,36.068083,-94.17894,"'LA','MS','MO','OK','TN','TX'","'Arkansas',","stateProvince=='AR'&college_state %in% c('LA','MS','MO','OK','TN','TX') ~ 'Bordering State'"
Arkansas State,Red Wolves,Arkansas State Red Wolves,Arkansas State University,Jonesboro,AR,22000,Sun Belt,FBS,Centennial Bank Stadium,"30,964",ProGreen,"Arkansas Intercollegiate Conference, Southland, Big West",1911,1992,35.848915,-90.667194,"'LA','MS','MO','OK','TN','TX'","'Arkansas State',","stateProvince=='AR'&college_state %in% c('LA','MS','MO','OK','TN','TX') ~ 'Bordering State'"
Army,Black Knights,Army Black Knights,United States Military Academy West Point,West Point,NY,4300,Independent,FBS,Blaik Field at Michie Stadium,"38,000",Field Turf,C-USA,1890,,41.387567,-73.964124,"'CT','MA','NJ','PA','RI','VT'","'Army',","stateProvince=='NY'&college_state %in% c('CT','MA','NJ','PA','RI','VT') ~ 'Bordering State'"
Auburn,Tigers,Auburn Tigers,Auburn University,Auburn,AL,30400,SEC,FBS,Pat Dye Field at Jordan-Hare Stadium,"87,451",Grass,"SIAA, SoCon",1892,,32.602223,-85.489141,"'FL','GA','MS','TN'","'Auburn',","stateProvince=='AL'&college_state %in% c('FL','GA','MS','TN') ~ 'Bordering State'"
Ball State,Cardinals,Ball State Cardinals,Ball State University,Muncie,IN,22500,MAC,FBS,Scheumann Stadium,"22,500",FieldTurf,"IIC, ICC",1924,,40.216023,-85.416775,"'IL','KY','MI','OH'","'Ball State',","stateProvince=='IN'&college_state %in% c('IL','KY','MI','OH') ~ 'Bordering State'"
Baylor,Bears,Baylor Bears,Baylor University,Waco,TX,17200,Big 12,FBS,McLane Stadium,"45,140",Matrix Artificial Turf,"TIAA, SWC",1899,,31.558216,-97.11564,"'AR','LA','NM','OK'","'Baylor',","stateProvince=='TX'&college_state %in% c('AR','LA','NM','OK') ~ 'Bordering State'"
Boise State,Broncos,Boise State Broncos,Boise State University,Boise,ID,25500,Mountain West,FBS,Albertsons Stadium,"36,387",Smurf Turf,"ICAC, Big Sky, Big West, WAC",1933,1996,43.602857,-116.195849,"'MT','NV','OR','UT','WA','WY'","'Boise State',","stateProvince=='ID'&college_state %in% c('MT','NV','OR','UT','WA','WY') ~ 'Bordering State'"
Boston College,Eagles,Boston College Eagles,Boston College,Chestnut Hill,MA,14700,ACC,FBS,Alumni Stadium,"44,500",AstroTurf,Big East,1893,,42.335121,-71.166461,"'CT','NY','NH','RI','VT'","'Boston College',","stateProvince=='MA'&college_state %in% c('CT','NY','NH','RI','VT') ~ 'Bordering State'"
Bowling Green,Falcons,Bowling Green Falcons,Bowling Green State University,Bowling Green,OH,23000,MAC,FBS,Doyt L. Perry Stadium,"24,000",FieldTurf,"Northwest Ohio Intercollegiate Athletic Association, OAC",1919,,41.37806,-83.622497,"'IN','KY','MI','PA','WV'","'Bowling Green',","stateProvince=='OH'&college_state %in% c('IN','KY','MI','PA','WV') ~ 'Bordering State'"
Buffalo,Bulls,Buffalo Bulls,State University of New York-Buffalo,Amherst,NY,31500,MAC,FBS,UB Stadium,"29,013",A-Turf Titan,New York State Conference,1894,1999,42.999137,-78.777522,"'CT','MA','NJ','PA','RI','VT'","'Buffalo',","stateProvince=='NY'&college_state %in% c('CT','MA','NJ','PA','RI','VT') ~ 'Bordering State'"
BYU,Cougars,BYU Cougars,Brigham Young University,Provo,UT,33600,Independent,FBS,LaVell Edwards Stadium,"63,470",Grass,"Rocky Mountain, Mountain States, WAC, MW",1922,,40.257544,-111.654512,"'AZ','CO','ID','NV','NM','WY'","'BYU',","stateProvince=='UT'&college_state %in% c('AZ','CO','ID','NV','NM','WY') ~ 'Bordering State'"
California,Golden Bears,California Golden Bears,"University of California, Berkeley",Berkeley,CA,42500,Pac-12,FBS,California Memorial Stadium,"62,717",FieldTurf,PCC,1882,,37.871008,-122.250762,"'AZ','NV','OR'","'California',","stateProvince=='CA'&college_state %in% c('AZ','NV','OR') ~ 'Bordering State'"
Central Michigan,Chippewas,Central Michigan Chippewas,Central Michigan University,Mount Pleasant,MI,21700,MAC,FBS,Kelly/Shorts Stadium,"30,255",FieldTurf,"MCC, IIAC",1896,,43.577633,-84.770853,"'IL','IN','MN','OH','WI'","'Central Michigan',","stateProvince=='MI'&college_state %in% c('IL','IN','MN','OH','WI') ~ 'Bordering State'"
Charlotte,49ers,Charlotte 49ers,University of North Carolina-Charlotte,Charlotte,NC,29700,C-USA,FBS,McColl-Richardson Field at Jerry Richardson Stadium,"15,314",Matrix Artificial Turf,"Sun Belt, C-USA, A-10",2013,2015,35.3105,-80.74011,"'GA','SC','TN','VA'","'Charlotte',","stateProvince=='NC'&college_state %in% c('GA','SC','TN','VA') ~ 'Bordering State'"
Cincinnati,Bearcats,Cincinnati Bearcats,University Of Cincinnati,Cincinnati,OH,46000,American,FBS,Nippert Stadium,"40,000",UBU Sports Speed M6-M,"OAC, Buckeye Intercollegiate Athletic Association, MAC, MVC, C-USA, Big East",1885,,39.131198,-84.516192,"'IN','KY','MI','PA','WV'","'Cincinnati',","stateProvince=='OH'&college_state %in% c('IN','KY','MI','PA','WV') ~ 'Bordering State'"
Clemson,Tigers,Clemson Tigers,Clemson University,Clemson,SC,25000,ACC,FBS,Frank Howard Field at Clemson Memorial Stadium,"81,500",Grass,"SIAA, SAIAA, SoCon",1896,,34.678748,-82.843195,"'GA','NC'","'Clemson',","stateProvince=='SC'&college_state %in% c('GA','NC') ~ 'Bordering State'"
Coastal Carolina,Chanticleers,Coastal Carolina Chanticleers,Coastal Carolina University,Conway,SC,10600,Sun Belt,FBS,Brooks Stadium,"20,000",Shaw Power Blade HD Turf,Big South,2003,2017,33.792865,-79.017494,"'GA','NC'","'Coastal Carolina',","stateProvince=='SC'&college_state %in% c('GA','NC') ~ 'Bordering State'"
Colorado,Buffaloes,Colorado Buffaloes,University of Colorado-Boulder,Boulder,CO,33200,Pac-12,FBS,Folsom Field,"50,183",Grass,"Colorado Football Association, Rocky Mountain, Mountain States, Big Eight, Big 12",1890,,40.009456,-105.266922,"'AZ','KS','NE','NM','OK','UT','WY'","'Colorado',","stateProvince=='CO'&college_state %in% c('AZ','KS','NE','NM','OK','UT','WY') ~ 'Bordering State'"
Colorado State,Rams,Colorado State Rams,Colorado State University,Fort Collins,CO,33800,Mountain West,FBS,Sonny Lubick Field at Canvas Stadium,"41,200",Shaw Sports Artificial Turf,"Colorado Football Association, Rocky Mountain, Mountain States, WAC",1890,,40.562113,-105.141616,"'AZ','KS','NE','NM','OK','UT','WY'","'Colorado State',","stateProvince=='CO'&college_state %in% c('AZ','KS','NE','NM','OK','UT','WY') ~ 'Bordering State'"
Duke,Blue Devils,Duke Blue Devils,Duke University,Durham,NC,15900,ACC,FBS,Brooks Field at Wallace Wade Stadium,"40,000",Latitude 36 Bermuda Grass,SoCon,1888,,35.995405,-78.941655,"'GA','SC','TN','VA'","'Duke',","stateProvince=='NC'&college_state %in% c('GA','SC','TN','VA') ~ 'Bordering State'"
East Carolina,Pirates,East Carolina Pirates,East Carolina University,Greenville,NC,29100,American,FBS,Bagwell Field at Dowdy-Ficklen Stadium,"50,000",Tifton 419 Hybrid Bermuda,"NSC, Carolinas, SoCon, C-USA",1932,,35.596473,-77.365265,"'GA','SC','TN','VA'","'East Carolina',","stateProvince=='NC'&college_state %in% c('GA','SC','TN','VA') ~ 'Bordering State'"
Eastern Michigan,Eagles,Eastern Michigan Eagles,Eastern Michigan University,Ypsilanti,MI,20300,MAC,FBS,Rynearson Stadium,"30,200",FieldTurf,"MIAA, MCC, IIAC, PAC",1891,,42.255924,-83.647372,"'IL','IN','MN','OH','WI'","'Eastern Michigan',","stateProvince=='MI'&college_state %in% c('IL','IN','MN','OH','WI') ~ 'Bordering State'"
FIU,Panthers,FIU Panthers,Florida International University,Miami,FL,56800,C-USA,FBS,Riccardo Silva Stadium,"23,500",FieldTurf,Sun Belt,2002,2006,25.752503,-80.37871,"'AL','GA'","'FIU',","stateProvince=='FL'&college_state %in% c('AL','GA') ~ 'Bordering State'"
