ID,Ranking,Name,Height in inches,wt in lbs,Hometown2,State2,Position,Rating,Stars,College,College lean,Conference,Committed,Committed to,pos_group
2021_47,16,Camar Wheaton,71,190,Garland  TX,TX,RB,0.9892,5,Oklahoma100%,Oklahoma,Big 12,Not Committed,,RB
2021_185,17,JC Latham,78,305,Bradenton  FL,FL,OT,0.989,5,Alabama,Alabama,SEC,Committed,Alabama,OL
2021_77,18,Damon Payne,75.5,297,Belleville  MI,MI,DT,0.9889,5,1,,Other,Not Committed,,DL
2021_354,19,TreVeyon Henderson,71,195,Hopewell  VA,VA,RB,0.9886,5,Ohio State,Ohio State,Big Ten,Committed,Ohio State,RB
2021_258,20,Maason Smith,77,316,Houma  LA,LA,DT,0.9884,5,LSU100%,LSU,SEC,Not Committed,,DL
2021_103,21,Donovan Jackson,76,308,Bellaire  TX,TX,OG,0.9875,5,Ohio State,Ohio State,Big Ten,Committed,Ohio State,OL
2021_125,22,Ga'Quincy McKinstry,71.5,172,Pinson  AL,AL,CB,0.9875,5,Clemson14%,Clemson,ACC,Not Committed,,DB
2021_373,23,Will Shipley,71,198,Matthews  NC,NC,APB,0.9871,5,Clemson,Clemson,ACC,Committed,Clemson,RB
2021_174,24,Ja'Tavion Sanders,75.5,220,Denton  TX,TX,ATH,0.9868,5,Texas,Texas,Big 12,Committed,Texas,ATH
2021_331,25,Smael Mondon,75,220,Dallas  GA,GA,OLB,0.9866,5,Georgia100%,Georgia,SEC,Not Committed,,LB
2021_240,26,Kyle McCord,75,204,Philadelphia  PA,PA,PRO,0.9863,5,Ohio State,Ohio State,Big Ten,Committed,Ohio State,QB
2021_250,27,Leonard Taylor,76,255,Miami  FL,FL,DT,0.9838,5,Florida100%,Florida,SEC,Not Committed,,DL
2021_173,28,Jason Marshall,74,180,Miami  FL,FL,CB,0.9836,5,Florida100%,Florida,SEC,Not Committed,,DB
2021_364,29,Tyler Buchner,74,205,La Jolla  CA,CA,DUAL,0.9836,5,Notre Dame,Notre Dame,Other,Committed,Notre Dame,QB
2021_360,30,Tunmise Adeleye,75,240,Bradenton  FL,FL,SDE,0.9832,4,Ohio State,Ohio State,Big Ten,Committed,Ohio State,DL
2021_358,31,Troy Franklin,74,170,Menlo Park  CA,CA,WR,0.9831,4,Oregon,Oregon,Pac-12,Committed,Oregon,WR
2021_323,32,Savion Byrd,77,265,Duncanville  TX,TX,OT,0.9829,4,SMU100%,SMU,Other,Not Committed,,OL
2021_159,33,Jake Garcia,74.5,188,La Habra  CA,CA,PRO,0.9827,4,USC,USC,Pac-12,Committed,USC,QB
2021_26,34,Billy Bowman,70,175,Denton  TX,TX,ATH,0.9824,4,Texas,Texas,Big 12,Committed,Texas,ATH
2021_188,35,Jeremiah Trotter Jr.,72,210,Philadelphia  PA,PA,ILB,0.9822,4,Clemson,Clemson,ACC,Committed,Clemson,LB
2021_111,36,Dylan Brooks,77,240,Roanoke  AL,AL,WDE,0.982,4,Tennessee,Tennessee,SEC,Committed,Tennessee,DL
2021_102,37,Donovan Edwards,71,190,West Bloomfield  MI,MI,RB,0.9818,4,Michigan88%,Michigan,Big Ten,Not Committed,,RB
2021_152,38,Jacorey Brooks,75,185,Miami  FL,FL,WR,0.9812,4,Alabama,Alabama,SEC,Committed,Alabama,WR
2021_266,39,Mario Williams,70,165,Plant City  FL,FL,WR,0.9805,4,Oklahoma,Oklahoma,Big 12,Committed,Oklahoma,WR
2021_306,40,Raesjon Davis,73,215,Santa Ana  CA,CA,OLB,0.9805,4,LSU,LSU,SEC,Committed,LSU,LB
2021_317,41,Sage Ryan,71,193,Lafayette  LA,LA,S,0.9797,4,LSU100%,LSU,SEC,Not Committed,,DB
2021_251,42,LJ Johnson,70,204,Cypress  TX,TX,RB,0.9779,4,Texas A&M100%,Texas A&M,SEC,Not Committed,,RB
2021_157,43,Jakailin Johnson,72,168,Saint Louis  MO,MO,CB,0.9774,4,Ohio State,Ohio State,Big Ten,Committed,Ohio State,DB
2021_314,44,Rocco Spindler,76.5,315,Clarkston  MI,MI,OG,0.9768,4,Notre Dame50%,Notre Dame,Other,Not Committed,,OL
2021_83,45,Deion Colzie,76,193,Athens  GA,GA,WR,0.9767,4,Georgia94%,Georgia,SEC,Not Committed,,WR
2021_73,46,Dallas Turner,76,235,Fort Lauderdale  FL,FL,WDE,0.9765,4,Georgia75%,Georgia,SEC,Not Committed,,DL
2021_106,47,Dont'e Thornton,76.5,185,Baltimore  MD,MD,WR,0.9762,4,Oregon100%,Oregon,Pac-12,Not Committed,,WR
2021_23,48,Beaux Collins,74.5,195,Bellflower  CA,CA,WR,0.9761,4,Clemson,Clemson,ACC,Committed,Clemson,WR
2021_244,49,Landon Tengwall,78,300,Olney  MD,MD,OT,0.976,4,Penn State,Penn State,Big Ten,Committed,Penn State,OL
2021_336,50,Terrence Ferguson,76,300,Fort Valley  GA,GA,OG,0.9759,4,Georgia100%,Georgia,SEC,Not Committed,,OL
2021_22,51,Barrett Carter,73,220,Suwanee  GA,GA,OLB,0.9758,4,Clemson,Clemson,ACC,Committed,Clemson,LB
2021_279,52,Miller Moss,74,197,Santa Ana  CA,CA,PRO,0.9758,4,USC,USC,Pac-12,Committed,USC,QB
2021_107,53,Drake Maye,77,210,Charlotte  NC,NC,PRO,0.9756,4,North Carolina,North Carolina,ACC,Committed,North Carolina,QB
2021_28,54,Blake Fisher,77.5,336,Avon  IN,IN,OT,0.9747,4,Notre Dame,Notre Dame,Other,Committed,Notre Dame,OL
2021_91,55,Derrick Davis Jr.,73,194,Monroeville  PA,PA,S,0.9747,4,Penn State67%,Penn State,Big Ten,Not Committed,,DB
2021_369,56,Tywone Malone,75.5,300,Oradell  NJ,NJ,DT,0.9738,4,N/A,N/A,Other,Not Committed,,DL
2021_278,57,Mike Hall,75,290,Streetsboro  OH,OH,DT,0.9735,4,Ohio State,Ohio State,Big Ten,Committed,Ohio State,DL
2021_87,58,Demeioun Robinson,75,220,Gaithersburg  MD,MD,WDE,0.9732,4,Maryland,Maryland,Big Ten,Committed,Maryland,DL
2021_270,59,Marvin Harrison Jr.,75,190,Philadelphia  PA,PA,WR,0.9731,4,Ohio State,Ohio State,Big Ten,Committed,Ohio State,WR
2021_249,60,Lee Hunter,77,292,Eight Mile  AL,AL,DT,0.9727,4,Auburn,Auburn,SEC,Committed,Auburn,DL
2021_274,61,Micah Morris,76,316,Kingsland  GA,GA,OT,0.9721,4,Georgia,Georgia,SEC,Committed,Georgia,OL
2021_237,62,Kingsley Suamataia,77,280,Orem  UT,UT,OT,0.9718,4,Oregon100%,Oregon,Pac-12,Not Committed,,OL
2021_33,63,Brian Thomas Jr.,76,185,Walker  LA,LA,WR,0.9703,4,LSU100%,LSU,SEC,Not Committed,,WR
2021_377,64,Xavian Sorey,75,214,Graceville  FL,FL,OLB,0.9693,4,Alabama100%,Alabama,SEC,Not Committed,,LB
2021_37,65,Bryce Foster,76.5,330,Katy  TX,TX,OG,0.9678,4,Oklahoma62%,Oklahoma,Big 12,Not Committed,,OL
2021_56,66,Chris Hilton,71.5,169,Zachary  LA,LA,WR,0.9676,4,LSU100%,LSU,SEC,Not Committed,,WR
2021_133,67,Giovanni El-Hadi,77,285,Sterling Heights  MI,MI,OT,0.9666,4,Michigan,Michigan,Big Ten,Committed,Michigan,OL
2021_177,68,Jayden Ballard,74,175,Massillon  OH,OH,WR,0.9666,4,Ohio State,Ohio State,Big Ten,Committed,Ohio State,WR
2021_158,69,Jake Briningstool,77,215,Brentwood  TN,TN,TE,0.9665,4,Clemson,Clemson,ACC,Committed,Clemson,TE
2021_311,70,Reid Carrico,75,225,Ironton  OH,OH,ILB,0.9659,4,Ohio State,Ohio State,Big Ten,Committed,Ohio State,LB
2021_119,71,Ethan Calvert,75,230,Westlake Village  CA,CA,ILB,0.9654,4,USC100%,USC,Pac-12,Not Committed,,LB
2021_51,72,Ceyair Wright,73,175,Los Angeles  CA,CA,CB,0.9654,4,N/A,N/A,Other,Not Committed,,DB
2021_192,73,JoJo Earle,69.5,170,Aledo  TX,TX,WR,0.9653,4,LSU,LSU,SEC,Committed,LSU,WR
2021_5,74,Agiye Hall,75,190,Valrico  FL,FL,WR,0.965,4,Alabama,Alabama,SEC,Committed,Alabama,WR
2021_142,75,Isaiah Johnson,74,180,Bluefield  WV,WV,CB,0.9648,4,N/A,N/A,Other,Not Committed,,DB
2021_126,76,Garrett Dellinger,77,280,Clarkston  MI,MI,OT,0.9647,4,LSU100%,LSU,SEC,Not Committed,,OL
2021_31,77,Branden Jennings,75.5,225,Jacksonville  FL,FL,OLB,0.9647,4,Florida State,Florida State,ACC,Committed,Florida State,LB
2021_80,78,David Daniel,74,185,Woodstock  GA,GA,ATH,0.9647,4,Georgia,Georgia,SEC,Committed,Georgia,ATH
