ID,Ranking,Name,Height in inches,wt in lbs,Hometown2,State2,Position,Rating,Stars,College,College lean,Conference,Committed,Committed to,pos_group
2021_316,197,Ryan Linthicum,76,275,Damascus  MD,MD,OC,0.9219,4,Clemson,Clemson,ACC,Committed,Clemson,OL
2021_14,198,Anthony Beavers Jr.,73,195,Harbor City  CA,CA,ATH,0.9218,4,USC,USC,Pac-12,Committed,USC,ATH
2021_190,199,Jermaine Terry,76,235,Richmond  CA,CA,TE,0.9214,4,California,California,Pac-12,Committed,California,TE
2021_260,200,Malcolm Johnson Jr.,73,185,Bryans Road  MD,MD,WR,0.9214,4,Oklahoma25%,Oklahoma,Big 12,Not Committed,,WR
2021_286,201,Naquan Brown,75,205,Virginia Beach  VA,VA,WDE,0.9212,4,Virginia Tech100%,Virginia Tech,ACC,Not Committed,,DL
2021_1,202,Aaron Armitage,76,242,Blairstown  NJ,NJ,SDE,0.9207,4,USC100%,USC,Pac-12,Not Committed,,DL
2021_130,203,George Rooks,76,260,Jersey City  NJ,NJ,DT,0.9207,4,Michigan100%,Michigan,Big Ten,Not Committed,,DL
2021_169,204,Jantzen Dunn,74,178,Bowling Green  KY,KY,S,0.9204,4,Ohio State,Ohio State,Big Ten,Committed,Ohio State,DB
2021_350,205,Travion Ford,74,222,Saint Louis  MO,MO,WDE,0.9204,4,Missouri,Missouri,SEC,Committed,Missouri,DL
2021_156,206,Jahzion Harris,76,215,Brooklyn  NY,NY,WDE,0.9203,4,Texas A&M,Texas A&M,SEC,Committed,Texas A&M,DL
2021_385,207,Zavier Carter,76,193,Atlanta  GA,GA,OLB,0.92,4,LSU,LSU,SEC,Committed,LSU,LB
2021_72,208,Daejon Reynolds,74,195,Loganville  GA,GA,WR,0.92,4,Florida,Florida,SEC,Committed,Florida,WR
2021_378,209,Xavier Worthy,73,160,Fresno  CA,CA,WR,0.9193,4,Oregon100%,Oregon,Pac-12,Not Committed,,WR
2021_97,210,Dietrick Pennington,77,326,Cordova  TN,TN,OG,0.918,4,N/A,N/A,Other,Not Committed,,OL
2021_294,211,Owen Prentice,75,295,Seattle  WA,WA,OG,0.9176,4,Washington100%,Washington,Pac-12,Not Committed,,OL
2021_307,212,Raheem Anderson,75,298,Detroit  MI,MI,OC,0.9171,4,Michigan,Michigan,Big Ten,Committed,Michigan,OL
2021_168,213,Jamon Dumas-Johnson,73,235,Baltimore  MD,MD,OLB,0.9168,4,N/A,N/A,Other,Not Committed,,LB
2021_15,214,Antonio Harmon,76,205,Kosciusko  MS,MS,WR,0.9164,4,Ole Miss100%,Ole Miss,SEC,Not Committed,,WR
2021_75,215,Dametrious Crownover,78,235,Grandview  TX,TX,TE,0.9164,4,Texas A&M100%,Texas A&M,SEC,Not Committed,,TE
2021_343,216,Tiaoalii Savea,75,265,Las Vegas  NV,NV,OT,0.9161,4,USC100%,USC,Pac-12,Not Committed,,OL
2021_145,217,Jabari Ishmael,77,210,Miami  FL,FL,WDE,0.9154,4,Miami100%,Miami,ACC,Not Committed,,DL
2021_328,218,Shambre Jackson,76,243,Orlando  FL,FL,SDE,0.9154,4,N/A,N/A,Other,Not Committed,,DL
2021_66,219,Connor Colby,77,270,Cedar Rapids  IA,IA,OG,0.9149,4,Iowa,Iowa,Big Ten,Committed,Iowa,OL
2021_184,220,Jaylin White,70.5,185,Dothan  AL,AL,RB,0.9148,4,N/A,N/A,Other,Not Committed,,RB
2021_329,221,Shedeur Sanders,74,198,Cedar Hill  TX,TX,PRO,0.9148,4,N/A,N/A,Other,Not Committed,,QB
2021_340,222,Thad Franklin,72,225,Hollywood  FL,FL,RB,0.9141,4,Miami,Miami,ACC,Committed,Miami,RB
2021_115,223,Eli Sutton,79,285,Brentwood  TN,TN,OT,0.9139,4,North Carolina,North Carolina,ACC,Committed,North Carolina,OL
2021_122,224,Gabe Stephens,75,205,Mount Holly  NC,NC,ATH,0.9139,4,North Carolina,North Carolina,ACC,Committed,North Carolina,ATH
2021_137,225,Hudson Wolfe,78,240,Savannah  TN,TN,TE,0.9139,4,Tennessee93%,Tennessee,SEC,Not Committed,,TE
2021_2,226,Aaron McLaughlin,77,219,Alpharetta  GA,GA,PRO,0.9134,4,NC State,NC State,Other,Committed,NC State,QB
2021_263,227,Marcus Burke,75,180,Jacksonville  FL,FL,WR,0.9134,4,Florida100%,Florida,SEC,Not Committed,,WR
2021_296,228,Peter Costelli,75,205,Mission Viejo  CA,CA,DUAL,0.9129,4,Utah,Utah,Pac-12,Committed,Utah,QB
2021_199,229,Jordon Thomas,75,240,Port Arthur  TX,TX,WDE,0.9126,4,Texas,Texas,Big 12,Committed,Texas,DL
2021_334,230,Teddy Prochazka,80,280,Omaha  NE,NE,OT,0.9125,4,Nebraska,Nebraska,Big Ten,Committed,Nebraska,OL
2021_206,231,Julian Nixon,75,230,Roswell  GA,GA,WR,0.9121,4,Tennessee,Tennessee,SEC,Committed,Tennessee,WR
2021_24,232,Behren Morton,74,185,Eastland  TX,TX,DUAL,0.9119,4,Texas Tech,Texas Tech,Big 12,Committed,Texas Tech,QB
2021_138,233,Hunter Washington,71,178,Katy  TX,TX,CB,0.9116,4,Florida State,Florida State,ACC,Committed,Florida State,DB
2021_302,234,Prophet Brown,71,180,Elk Grove  CA,CA,RB,0.9116,4,Oklahoma100%,Oklahoma,Big 12,Not Committed,,RB
2021_140,235,Ian Jackson,73,210,Prattville  AL,AL,OLB,0.911,4,Alabama,Alabama,SEC,Committed,Alabama,LB
2021_92,236,Derrick Harris Jr.,74.5,215,New Caney  TX,TX,WDE,0.9105,4,Texas,Texas,Big 12,Committed,Texas,DL
2021_167,237,Jamier Johnson,73,175,Pasadena  CA,CA,CB,0.9104,4,N/A,N/A,Other,Not Committed,,DB
2021_379,238,Yanni Karlaftis,75,203,West Lafayette  IN,IN,OLB,0.9101,4,Purdue57%,Purdue,Big Ten,Not Committed,,LB
2021_224,239,Keanu Koht,76,215,Vero Beach  FL,FL,WDE,0.91,4,N/A,N/A,Other,Not Committed,,DL
2021_13,240,Andrew Mukuba,72,185,Austin  TX,TX,S,0.9099,4,Texas69%,Texas,Big 12,Not Committed,,DB
2021_324,241,Savion Collins,76,290,Miami  FL,FL,DT,0.9095,4,Miami,Miami,ACC,Committed,Miami,DL
2021_52,242,Charles Montgomery,70,185,Valrico  FL,FL,ATH,0.9095,4,Florida,Florida,SEC,Committed,Florida,ATH
2021_220,243,Kamarro Edmonds,71,200,Havelock  NC,NC,RB,0.9094,4,North Carolina,North Carolina,ACC,Committed,North Carolina,RB
2021_333,244,Taizse Johnson,73,290,Washington  DC,DC,DT,0.9094,4,Maryland,Maryland,Big Ten,Committed,Maryland,DL
2021_382,245,Zaire Patterson,78,230,Winston Salem  NC,NC,WDE,0.9092,4,Clemson,Clemson,ACC,Committed,Clemson,DL
2021_318,246,Saivion Jones,77,240,Saint James  LA,LA,WDE,0.909,4,LSU,LSU,SEC,Committed,LSU,DL
2021_134,247,Greg Crippen,76,285,Bradenton  FL,FL,OC,0.9089,4,Michigan,Michigan,Big Ten,Committed,Michigan,OL
2021_85,248,Dekel Crowdus,70.5,165,Lexington  KY,KY,WR,0.9085,4,Kentucky,Kentucky,SEC,Committed,Kentucky,WR
2021_198,249,Jordan Mosley,72,190,Mobile  AL,AL,WR,0.9084,4,Tennessee,Tennessee,SEC,Committed,Tennessee,WR
2021_39,250,Bryson Green,72.5,203,Allen  TX,TX,WR,0.9082,4,Oklahoma State,Oklahoma State,Big 12,Committed,Oklahoma State,WR
2021_261,251,Malik Nabers,72,190,Lafayette  LA,LA,WR,0.9081,4,Miami75%,Miami,ACC,Not Committed,,WR
2021_216,252,Kaidon Salter,73,185,Cedar Hill  TX,TX,DUAL,0.9078,4,Tennessee,Tennessee,SEC,Committed,Tennessee,QB
2021_308,253,Randolph Kpai,75,185,Sioux Falls  SD,SD,OLB,0.9078,4,Nebraska,Nebraska,Big Ten,Committed,Nebraska,LB
2021_53,254,Chase Smith,75,190,Palm Bay  FL,FL,ATH,0.9075,4,Miami100%,Miami,ACC,Not Committed,,ATH
2021_54,255,Chaz Chambliss,74,239,Carrollton  GA,GA,OLB,0.9074,4,Georgia,Georgia,SEC,Committed,Georgia,LB
2021_254,256,Louis Hansen,76.5,222,Needham  MA,MA,TE,0.9073,4,Michigan,Michigan,Big Ten,Committed,Michigan,TE
2021_182,257,Jaylen Reed,72,190,Detroit  MI,MI,S,0.907,4,Penn State,Penn State,Big Ten,Committed,Penn State,DB
2021_284,258,Nahki Johnson,75,225,Homestead  PA,PA,WDE,0.9066,4,Pittsburgh,Pittsburgh,Other,Committed,Pittsburgh,DL
2021_356,259,Trey Zuhn,78,300,Fort Collins  CO,CO,OT,0.9063,4,Texas A&M,Texas A&M,SEC,Committed,Texas A&M,OL
2021_232,260,Keon Coleman,76,185,Opelousas  LA,LA,WR,0.9058,4,N/A,N/A,Other,Not Committed,,WR
2021_304,261,Quenton Barnes,74,175,Antioch  TN,TN,WR,0.9057,4,N/A,N/A,Other,Not Committed,,WR
2021_256,262,Luke Altmyer,74,195,Starkville  MS,MS,PRO,0.9055,4,Florida State,Florida State,ACC,Committed,Florida State,QB
2021_105,263,Dontavius Nash,74,170,Gastonia  NC,NC,S,0.9052,4,North Carolina,North Carolina,ACC,Committed,North Carolina,DB
2021_387,264,Devin Kirkwood,75,175,Gardena  CA,CA,ATH,0.9051,4,UCLA,UCLA,Pac-12,Committed,UCLA,ATH
2021_210,265,Justice Sullivan,73,220,Eden Prairie  MN,MN,WDE,0.9047,4,Iowa,Iowa,Big Ten,Committed,Iowa,DL
2021_193,266,Jonah Miller,78.5,260,Tucson  AZ,AZ,OT,0.9046,4,Oregon,Oregon,Pac-12,Committed,Oregon,OL
2021_202,267,Josh Simmons,78,280,La Mesa  CA,CA,OG,0.9046,4,N/A,N/A,Other,Not Committed,,OL
2021_98,268,Dink Jackson,74,185,Melbourne  FL,FL,S,0.9045,4,Florida State100%,Florida State,ACC,Not Committed,,DB
2021_272,269,Mavin Anderson,72,195,Mission Viejo  CA,CA,WR,0.904,4,California,California,Pac-12,Committed,California,WR
2021_293,270,Omarion Cooper,72,170,Lehigh Acres  FL,FL,CB,0.9039,4,Florida State,Florida State,ACC,Committed,Florida State,DB
2021_7,271,Ahmonte Watkins,70,173,Houston  TX,TX,RB,0.9039,4,N/A,N/A,Other,Not Committed,,RB
2021_988,272,Jordan Poole,72,225,Oakboro  NC,NC,ATH,0.9038,4,NC State100%,NC State,Other,Not Committed,,ATH
2021_372,273,Will Latu,74,221,Spanaway  WA,WA,ATH,0.9028,4,Washington100%,Washington,Pac-12,Not Committed,,ATH
2021_109,274,Dreyden Norwood,72,175,Fort Smith  AR,AR,CB,0.9027,4,Arkansas100%,Arkansas,SEC,Not Committed,,DB
2021_271,275,Mason Tufaga,73,210,Honolulu  HI,HI,ILB,0.9027,4,Utah100%,Utah,Pac-12,Not Committed,,LB
2021_129,276,Geno VanDeMark,76,313,Montvale  NJ,NJ,OG,0.9025,4,Rutgers100%,Rutgers,Big Ten,Not Committed,,OL
2021_219,277,Kamar Wilcoxson,73,183,Bradenton  FL,FL,S,0.9025,4,Tennessee,Tennessee,SEC,Committed,Tennessee,DB
2021_146,278,Jabez Tinae,73,187,Burien  WA,WA,WR,0.9023,4,Washington100%,Washington,Pac-12,Not Committed,,WR
2021_285,279,Najee Story,76,235,Solon  OH,OH,SDE,0.902,4,Northwestern,Northwestern,Big Ten,Committed,Northwestern,DL
2021_136,280,Hayden Conner,77.5,317,Katy  TX,TX,OT,0.9018,4,Texas,Texas,Big 12,Committed,Texas,OL
2021_361,281,Ty Keyes,74,205,Taylorsville  MS,MS,PRO,0.9014,4,N/A,N/A,Other,Not Committed,,QB
2021_268,282,Markevious Brown,72,170,Bradenton  FL,FL,CB,0.9013,4,N/A,N/A,Other,Not Committed,,DB
2021_347,283,Tommi Hill,73,185,Orlando  FL,FL,ATH,0.9012,4,N/A,N/A,Other,Not Committed,,ATH
2021_368,284,Tysheem Johnson,70,190,Philadelphia  PA,PA,S,0.9012,4,Ole Miss100%,Ole Miss,SEC,Not Committed,,DB
2021_164,285,James BlackStrain,74,180,Cocoa  FL,FL,WR,0.901,4,Georgia Tech,Georgia Tech,ACC,Committed,Georgia Tech,WR
2021_424,286,Tyrion Ingram-Dawkins,77,298,Gaffney  SC,SC,DT,0.9009,4,South Carolina92%,South Carolina,SEC,Not Committed,,DL
2021_298,287,Philip Riley,72,190,Valrico  FL,FL,CB,0.9007,4,Notre Dame,Notre Dame,Other,Committed,Notre Dame,DB
2021_345,288,Titus Mokiao-Atimalala,73,170,Ewa Beach  HI,HI,ATH,0.9,4,Notre Dame100%,Notre Dame,Other,Not Committed,,ATH
2021_124,289,Gage Wilcox,76,228,Tampa  FL,FL,TE,0.8996,4,Florida,Florida,SEC,Committed,Florida,TE
2021_213,290,Kaden Prather,75,210,Germantown  MD,MD,WR,0.8993,4,West Virginia,West Virginia,Big 12,Committed,West Virginia,WR
2021_381,291,Yulkeith Brown,70,174,Miami  FL,FL,ATH,0.8992,4,N/A,N/A,Other,Not Committed,,ATH
2021_388,292,Jaylin Smith,71,180,Mission Hills  CA,CA,ATH,0.899,4,USC100%,USC,Pac-12,Not Committed,,ATH
2021_55,293,Chief Borders,75,230,Carrollton  GA,GA,OLB,0.8989,4,Florida,Florida,SEC,Committed,Florida,LB
2021_19,294,Athan Kaliakmanis,76,190,Antioch  IL,IL,DUAL,0.8988,4,Minnesota,Minnesota,Big Ten,Committed,Minnesota,QB
2021_297,295,Phil Mafah,73,215,Loganville  GA,GA,RB,0.8988,4,Clemson,Clemson,ACC,Committed,Clemson,RB
2021_376,296,Xamarion Gordon,74,190,Downey  CA,CA,S,0.8988,4,USC,USC,Pac-12,Committed,USC,DB
2021_179,297,Jaydon Hood,73,212,Fort Lauderdale  FL,FL,ILB,0.8981,4,Michigan,Michigan,Big Ten,Committed,Michigan,LB
2021_222,298,Kamren Kinchens,71,201,Miami  FL,FL,S,0.898,4,Miami100%,Miami,ACC,Not Committed,,DB
2021_259,299,Mac Uihlein,73,215,Lake Forest  IL,IL,ILB,0.898,4,Northwestern,Northwestern,Big Ten,Committed,Northwestern,LB
2021_276,300,Michael McLaughlin,79,255,Pompano Beach  FL,FL,OT,0.898,4,Miami,Miami,ACC,Committed,Miami,OL
2021_301,301,Prince Kollie,73,200,Jonesborough  TN,TN,OLB,0.8978,4,N/A,N/A,Other,Not Committed,,LB
2021_95,302,Deuce Harmon,69,185,Denton  TX,TX,CB,0.8977,4,Texas A&M,Texas A&M,SEC,Committed,Texas A&M,DB
2021_58,303,Christian Veilleux,75.5,201,Potomac  MD,MD,PRO,0.8972,4,Penn State,Penn State,Big Ten,Committed,Penn State,QB
2021_100,304,Dominic Lovett,70,175,Belleville  IL,IL,WR,0.897,4,N/A,N/A,Other,Not Committed,,WR
2021_163,305,Jamari Buddin,74,210,Belleville  MI,MI,OLB,0.897,4,Penn State87%,Penn State,Big Ten,Not Committed,,LB
2021_383,306,Zakee Wheatley,74,180,Severn  MD,MD,S,0.8969,4,Penn State,Penn State,Big Ten,Committed,Penn State,DB
2021_252,307,Logan Taylor,80,290,Alexandria  VA,VA,OT,0.8965,4,N/A,N/A,Other,Not Committed,,OL
2021_180,308,Jaylen Anderson,71,212,Perry  OH,OH,RB,0.8962,4,West Virginia,West Virginia,Big 12,Committed,West Virginia,RB
2021_32,309,Brandon Campbell,70,190,Katy  TX,TX,RB,0.8961,4,USC,USC,Pac-12,Committed,USC,RB
2021_399,310,Justus Boone,77,250,Sumter  SC,SC,SDE,0.8961,4,Florida,Florida,SEC,Committed,Florida,DL
2021_283,311,Morice Blackwell,73,196,Arlington  TX,TX,OLB,0.896,4,Texas,Texas,Big 12,Committed,Texas,LB
2021_225,312,Keanu Williams,77,290,Clovis  CA,CA,SDE,0.8958,4,Oregon100%,Oregon,Pac-12,Not Committed,,DL
2021_332,313,Steven Ortiz,71,170,Goodyear  AZ,AZ,CB,0.8958,4,Minnesota,Minnesota,Big Ten,Committed,Minnesota,DB
2021_269,314,Marquis Robinson,75,300,Milton  FL,FL,DT,0.8957,4,Auburn100%,Auburn,SEC,Not Committed,,DL
2021_287,315,Nathan Rawlins-Kibonge,79,240,Portland  OR,OR,SDE,0.8956,4,Oklahoma100%,Oklahoma,Big 12,Not Committed,,DL
2021_149,316,Jackson Light,74.5,275,Draper  UT,UT,OC,0.8952,4,Oregon,Oregon,Pac-12,Committed,Oregon,OL
2021_101,317,Donaven McCulley,77,195,Indianapolis  IN,IN,DUAL,0.8949,4,Indiana,Indiana,Big Ten,Committed,Indiana,QB
2021_208,318,Junior Alexander,75,189,Burien  WA,WA,WR,0.8943,4,Arizona State75%,Arizona State,Pac-12,Not Committed,,WR
2021_267,319,Mar'Keise Irving,70,175,Country Club Hills  IL,IL,RB,0.8941,4,Minnesota,Minnesota,Big Ten,Committed,Minnesota,RB
2021_187,320,Jerand Bradley,77,200,DeSoto  TX,TX,WR,0.894,4,Texas Tech,Texas Tech,Big 12,Committed,Texas Tech,WR
2021_171,321,Jaraye Williams,75,197,Burien  WA,WA,OLB,0.8937,4,Louisville,Louisville,ACC,Committed,Louisville,LB
2021_235,322,Khayri Banton,74,220,Newark  NJ,NJ,OLB,0.8937,4,Rutgers,Rutgers,Big Ten,Committed,Rutgers,LB
2021_110,323,Duce Chestnut,71,180,Camden  NJ,NJ,CB,0.8934,4,N/A,N/A,Other,Not Committed,,DB
2021_367,324,Tyrese Johnson,73,190,New Orleans  LA,LA,WR,0.8934,4,N/A,N/A,Other,Not Committed,,WR
2021_290,325,Noah Josey,77,280,Brentwood  TN,TN,OG,0.8933,4,Georgia100%,Georgia,SEC,Not Committed,,OL
2021_147,326,Jack Pugh,77,235,Hilliard  OH,OH,TE,0.8932,4,Wisconsin,Wisconsin,Big Ten,Committed,Wisconsin,TE
2021_344,327,Tim Keenan,73,340,Birmingham  AL,AL,DT,0.893,4,N/A,N/A,Other,Not Committed,,DL
2021_321,328,Sam Jackson,71,170,Naperville  IL,IL,ATH,0.8927,4,Purdue,Purdue,Big Ten,Committed,Purdue,ATH
2021_226,329,Kechaun Bennett,76,220,Suffield  CT,CT,SDE,0.8925,4,Michigan,Michigan,Big Ten,Committed,Michigan,DL
2021_389,330,Elijah Arroyo,76,210,Frisco  TX,TX,TE,0.8925,4,Miami,Miami,ACC,Committed,Miami,TE
2021_9,331,Akili Calhoun,76,245,Brentwood  CA,CA,WDE,0.8922,4,California,California,Pac-12,Committed,California,DL
2021_44,332,Caleb Tiernan,79,280,Livonia  MI,MI,OT,0.8917,4,Northwestern,Northwestern,Big Ten,Committed,Northwestern,OL
2021_79,333,David Abiara,76,248,Mansfield  TX,TX,SDE,0.8915,4,Notre Dame,Notre Dame,Other,Committed,Notre Dame,DL
2021_132,334,George Wilson,77,214,Virginia Beach  VA,VA,WDE,0.8914,4,N/A,N/A,Other,Not Committed,,DL
2021_499,335,Benjamin Perry,75,190,Chicago  IL,IL,S,0.8914,4,Louisville,Louisville,ACC,Committed,Louisville,DB
2021_335,336,Terrance Ferguson,77,230,Littleton  CO,CO,TE,0.8913,4,Oregon100%,Oregon,Pac-12,Not Committed,,TE
2021_352,337,Trenilyas Tatum,74,208,Jonesboro  GA,GA,OLB,0.8913,4,South Carolina,South Carolina,SEC,Committed,South Carolina,LB
2021_43,338,Caleb Johnson,79,295,Ocala  FL,FL,OT,0.8907,4,Auburn,Auburn,SEC,Committed,Auburn,OL
2021_175,339,Javon Nelson,75,265,Murfreesboro  TN,TN,SDE,0.8904,4,N/A,N/A,Other,Not Committed,,DL
2021_234,340,Khari Gee,75,185,Atlanta  GA,GA,S,0.8904,4,LSU,LSU,SEC,Committed,LSU,DB
2021_20,341,Audric Estime,73.5,215,Montvale  NJ,NJ,RB,0.8902,4,Rutgers100%,Rutgers,Big Ten,Not Committed,,RB
2021_90,342,Derek Wilkins,76,250,Rancho Santa Margarita  CA,CA,SDE,0.8899,3,California100%,California,Pac-12,Not Committed,,DL
2021_17,343,Ari Patu,76,185,Folsom  CA,CA,DUAL,0.8897,3,Stanford,Stanford,Pac-12,Committed,Stanford,QB
2021_27,344,Blaine Green,73.5,204,Allen  TX,TX,WR,0.8895,3,Oklahoma State,Oklahoma State,Big 12,Committed,Oklahoma State,WR
2021_181,345,Jaylen Johnson,73,200,Cincinnati  OH,OH,S,0.8894,3,Ohio State,Ohio State,Big Ten,Committed,Ohio State,DB
2021_36,346,Brody Wisecarver,76,317,Saint Louis  MO,MO,OG,0.8893,3,Illinois,Illinois,Big Ten,Committed,Illinois,OL
2021_201,347,Josh McCarron,76,215,Everett  WA,WA,WDE,0.8892,3,Virginia,Virginia,ACC,Committed,Virginia,DL
2021_390,348,Kamari Lassiter,72,175,Tuscaloosa  AL,AL,CB,0.8892,3,N/A,N/A,Other,Not Committed,,DB
2021_391,349,Brashard Smith,68.5,190,Miami  FL,FL,APB,0.8892,3,N/A,N/A,Other,Not Committed,,RB
2021_585,350,Tommy Akingbesote,76,270,Upper Marlboro  MD,MD,DT,0.8892,3,Maryland,Maryland,Big Ten,Committed,Maryland,DL
2021_215,351,Kai Millner,74,188,Gilbert  AZ,AZ,PRO,0.8891,3,California,California,Pac-12,Committed,California,QB
2021_238,352,Kobe Paysour,73,175,Kings Mountain  NC,NC,WR,0.8891,3,North Carolina,North Carolina,ACC,Committed,North Carolina,WR
2021_247,353,Latrell Neville,75,195,Missouri City  TX,TX,WR,0.8891,3,Nebraska74%,Nebraska,Big Ten,Not Committed,,WR
2021_392,354,Desmond Watson,77,350,Seffner  FL,FL,DT,0.8891,3,Florida100%,Florida,SEC,Not Committed,,DL
2021_393,355,Ricky Parks,70,192,Tampa  FL,FL,RB,0.8891,3,Iowa100%,Iowa,Big Ten,Not Committed,,RB
2021_394,356,Chamon Metayer,77,220,Miami  FL,FL,ATH,0.8891,3,N/A,N/A,Other,Not Committed,,ATH
2021_65,357,Collin Oliver,74,220,Edmond  OK,OK,ILB,0.8891,3,Oklahoma State,Oklahoma State,Big 12,Committed,Oklahoma State,LB
2021_562,358,Deonte Anderson,75,225,Fort Meade  FL,FL,WDE,0.889,3,N/A,N/A,Other,Not Committed,,DL
2021_395,359,Bennett Pitcher,79.5,273,Deerfield  MA,MA,OT,0.8889,3,N/A,N/A,Other,Not Committed,,OL
2021_396,360,Malachi Bennett,74,180,Fairfield  AL,AL,WR,0.8889,3,N/A,N/A,Other,Not Committed,,WR
2021_99,361,DJ Harvey,71,166,Chatsworth  CA,CA,CB,0.8888,3,Virginia Tech100%,Virginia Tech,ACC,Not Committed,,DB
2021_236,362,Khristian Zachary,75,245,Carrollton  GA,GA,WDE,0.8886,3,N/A,N/A,Other,Not Committed,,DL
2021_397,363,Bryce Steele,73,207,Alexandria  VA,VA,ILB,0.8884,3,South Carolina,South Carolina,SEC,Committed,South Carolina,LB
2021_398,364,Tar'varish Dawson,70,175,Lehigh Acres  FL,FL,ATH,0.8884,3,Auburn,Auburn,SEC,Committed,Auburn,ATH
2021_447,365,Jardin Gilbert,73,175,Baton Rouge  LA,LA,S,0.8884,3,N/A,N/A,Other,Not Committed,,DB
2021_10,366,Amari Daniels,68,194,Miami  FL,FL,APB,0.8883,3,Texas A&M100%,Texas A&M,SEC,Not Committed,,RB
2021_218,367,Kalen King,71,170,Detroit  MI,MI,CB,0.8883,3,Penn State,Penn State,Big Ten,Committed,Penn State,DB
2021_4,368,Adonai Mitchell,75,190,Antioch  TN,TN,WR,0.8883,3,Ole Miss,Ole Miss,SEC,Committed,Ole Miss,WR
2021_104,369,Donovan McMillon,74,193,Canonsburg  PA,PA,S,0.888,3,N/A,N/A,Other,Not Committed,,DB
2021_1004,370,Damarius McGhee,73,162,Pensacola  FL,FL,CB,0.8878,3,N/A,N/A,Other,Not Committed,,DB
2021_289,371,Nick Elksnis,78,220,Jacksonville  FL,FL,TE,0.8878,3,Florida,Florida,SEC,Committed,Florida,TE
2021_48,372,Cam'Ron Valdez,70,187,Rockdale  TX,TX,RB,0.8873,3,Texas Tech100%,Texas Tech,Big 12,Not Committed,,RB
2021_319,373,Sam Hart,77,225,Aurora  CO,CO,TE,0.8871,3,Ohio State,Ohio State,Big Ten,Committed,Ohio State,TE
2021_408,374,Jordan Young,72,185,Tampa  FL,FL,CB,0.8867,3,Florida100%,Florida,SEC,Not Committed,,DB
2021_400,375,Travali Price,76,246,Lincolnton  NC,NC,WDE,0.8863,3,NC State100%,NC State,Other,Not Committed,,DL
2021_511,376,Thomas Cole,79,265,San Luis Obispo  CA,CA,OT,0.8863,3,N/A,N/A,Other,Not Committed,,OL
2021_353,377,Trenton Adkins,73,195,Clintwood  VA,VA,ATH,0.8859,3,West Virginia100%,West Virginia,Big 12,Not Committed,,ATH
2021_245,378,Landyn Watson,75,235,Hutto  TX,TX,WDE,0.8858,3,Virginia Tech94%,Virginia Tech,ACC,Not Committed,,DL
2021_401,379,Jordan Dingle,76,235,Bowling Green  KY,KY,TE,0.8858,3,Kentucky100%,Kentucky,SEC,Not Committed,,TE
2021_197,380,Jordan Jenkins,73,202,Lindale  TX,TX,RB,0.8856,3,Baylor,Baylor,Big 12,Committed,Baylor,RB
2021_280,381,MJ Daniels,75,185,Lucedale  MS,MS,ATH,0.8856,3,N/A,N/A,Other,Not Committed,,ATH
2021_64,382,Colby Smith,79,295,Reidsville  NC,NC,OT,0.8855,3,Tennessee,Tennessee,SEC,Committed,Tennessee,OL
2021_172,383,Jared Wilson,76,325,Clemmons  NC,NC,OG,0.8854,3,North Carolina,North Carolina,ACC,Committed,North Carolina,OL
2021_212,384,Kadarius Calloway,73,195,Philadelphia  MS,MS,ATH,0.8851,3,Mississippi State,Mississippi State,SEC,Committed,Mississippi State,ATH
2021_371,385,Weston Franklin,76,308,Jesup  GA,GA,OG,0.8851,3,Georgia Tech100%,Georgia Tech,ACC,Not Committed,,OL
2021_384,386,Zamon Ross,73,200,Ellaville  GA,GA,S,0.8851,3,N/A,N/A,Other,Not Committed,,DB
2021_403,387,Javion Hunt,72,205,Oklahoma City  OK,OK,RB,0.8851,3,Arkansas,Arkansas,SEC,Committed,Arkansas,RB
2021_404,388,Byron Turner Jr.,75.5,237,New Orleans  LA,LA,SDE,0.8851,3,N/A,N/A,Other,Not Committed,,DL
2021_67,389,Cooper DeJean,74,195,Ida Grove  IA,IA,S,0.8851,3,Iowa,Iowa,Big Ten,Committed,Iowa,DB
2021_405,390,Jaden Alexis,71,175,Pompano Beach  FL,FL,WR,0.885,3,Texas100%,Texas,Big 12,Not Committed,,WR
2021_769,391,Andrew Jones,72,200,Marrero  LA,LA,ILB,0.8847,3,Florida State100%,Florida State,ACC,Not Committed,,LB
2021_322,392,Sam Ofurie,73,240,Salem  MA,MA,ILB,0.8843,3,N/A,N/A,Other,Not Committed,,LB
2021_406,393,Tavierre Dunlap,72,196,Del Valle  TX,TX,RB,0.8843,3,N/A,N/A,Other,Not Committed,,RB
2021_437,394,Devonta Smith,72,185,Cincinnati  OH,OH,CB,0.8843,3,Ohio State,Ohio State,Big Ten,Committed,Ohio State,DB
2021_521,395,Raheim Sanders,74,210,ROCKLEDGE  FL,FL,ATH,0.8843,3,Arkansas,Arkansas,SEC,Committed,Arkansas,ATH
2021_76,396,Damir Collins,69,185,Portland  OR,OR,APB,0.8843,3,Oregon State100%,Oregon State,Pac-12,Not Committed,,RB
2021_370,397,Victory Vaka,74,350,Westlake Village  CA,CA,DT,0.8837,3,Texas A&M,Texas A&M,SEC,Committed,Texas A&M,DL
2021_409,398,Matthew Wykoff,77,304,Magnolia  TX,TX,OT,0.883,3,Texas A&M,Texas A&M,SEC,Committed,Texas A&M,OL
